course,isco_code,occupation_id,occupation_label_fr,skill_id,skill_label_fr,relation_type,label,split
auto,2144,http://data.europa.eu/esco/occupation/5a58da2b-2fa0-40d4-a9f5-fead48e7de88,architecte naval/architecte navale,http://data.europa.eu/esco/skill/42b23922-1c40-4dbe-9e0c-7a568dfdf06b,ajuster des conceptions techniques,optional,1,train
auto,2144,http://data.europa.eu/esco/occupation/5a58da2b-2fa0-40d4-a9f5-fead48e7de88,architecte naval/architecte navale,http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378,analyse de données,optional,1,train
auto,2144,http://data.europa.eu/esco/occupation/5a58da2b-2fa0-40d4-a9f5-fead48e7de88,architecte naval/architecte navale,http://data.europa.eu/esco/skill/29bfe2cd-f011-4f94-a3aa-f77768e60460,analyser des consommations d’énergie,optional,1,train
auto,2144,http://data.europa.eu/esco/occupation/5a58da2b-2fa0-40d4-a9f5-fead48e7de88,architecte naval/architecte navale,http://data.europa.eu/esco/skill/81a2db2c-7e55-44d0-9cd9-74c25147d7cd,analyser des données de tests,optional,1,train
auto,2144,http://data.europa.eu/esco/occupation/5a58da2b-2fa0-40d4-a9f5-fead48e7de88,architecte naval/architecte navale,http://data.europa.eu/esco/skill/47a49cd6-097d-457a-9f7b-c290c14930d5,analyser des mégadonnées,optional,1,train
auto,2144,http://data.europa.eu/esco/occupation/5a58da2b-2fa0-40d4-a9f5-fead48e7de88,architecte naval/architecte navale,http://data.europa.eu/esco/skill/f1b5800e-b763-4740-9586-3fef30568e81,analyser des processus de production en vue de leur amélioration,optional,1,train
auto,2144,http://data.europa.eu/esco/occupation/5a58da2b-2fa0-40d4-a9f5-fead48e7de88,architecte naval/architecte navale,http://data.europa.eu/esco/skill/632843be-2872-47b4-a92e-352629f9bd88,analyser la résistance aux contraintes de produits,optional,1,train
auto,2144,http://data.europa.eu/esco/occupation/5a58da2b-2fa0-40d4-a9f5-fead48e7de88,architecte naval/architecte navale,http://data.europa.eu/esco/skill/a6c478c7-9807-4a67-bab4-aa9e02547175,analyser les opérations des navires,essential,1,train
auto,2144,http://data.europa.eu/esco/occupation/5a58da2b-2fa0-40d4-a9f5-fead48e7de88,architecte naval/architecte navale,http://data.europa.eu/esco/skill/b34be26f-fea9-4e58-90d1-3f8d2176a803,architecture navale,essential,1,train
auto,2144,http://data.europa.eu/esco/occupation/5a58da2b-2fa0-40d4-a9f5-fead48e7de88,architecte naval/architecte navale,http://data.europa.eu/esco/skill/368e5db0-ecca-4694-b116-3bb0f238d10c,assembler des capteurs,optional,1,train
auto,2144,http://data.europa.eu/esco/occupation/5a58da2b-2fa0-40d4-a9f5-fead48e7de88,architecte naval/architecte navale,http://data.europa.eu/esco/skill/db4a5d3a-47f5-4ff2-bc79-e458ee58c3fe,assembler des unités mécatroniques,optional,1,train
auto,2144,http://data.europa.eu/esco/occupation/5a58da2b-2fa0-40d4-a9f5-fead48e7de88,architecte naval/architecte navale,http://data.europa.eu/esco/skill/9a26b8b7-ec0f-46f8-a698-1f07cef1c5e3,assurer la conformité des navires avec la réglementation,essential,1,train
auto,2144,http://data.europa.eu/esco/occupation/5a58da2b-2fa0-40d4-a9f5-fead48e7de88,architecte naval/architecte navale,http://data.europa.eu/esco/skill/089ee650-297e-4716-87d1-440743b70a0d,assurer la conformité à une législation environnementale,optional,1,train
auto,2144,http://data.europa.eu/esco/occupation/5a58da2b-2fa0-40d4-a9f5-fead48e7de88,architecte naval/architecte navale,http://data.europa.eu/esco/skill/70a7b3b3-31ef-4b29-a30f-bb7299dff39b,capteurs,optional,1,train
auto,2144,http://data.europa.eu/esco/occupation/5a58da2b-2fa0-40d4-a9f5-fead48e7de88,architecte naval/architecte navale,http://data.europa.eu/esco/skill/40d243e3-436d-4acc-9481-5d3acaf07665,carburants des navires,optional,1,train
auto,2144,http://data.europa.eu/esco/occupation/5a58da2b-2fa0-40d4-a9f5-fead48e7de88,architecte naval/architecte navale,http://data.europa.eu/esco/skill/84cc8c9d-db57-42ec-8948-9b632bf06124,chimie des batteries,optional,1,train
