occupation_id,text_left,concept_id,text_right,label,source,course_scope
http://data.europa.eu/esco/occupation/3b1ea27c-781c-41eb-821f-214285260dd2,gestionnaire des modifications et de la configuration des TIC,http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9,méthodes de gestion de projets TIC,1,esco_historique,ict
http://data.europa.eu/esco/occupation/3b1ea27c-781c-41eb-821f-214285260dd2,gestionnaire des modifications et de la configuration des TIC,http://data.europa.eu/esco/skill/ccb2e5f2-4279-48fd-9d85-a1db42ff1e13,gestion de configuration de projet,1,esco_historique,ict
http://data.europa.eu/esco/occupation/3b1ea27c-781c-41eb-821f-214285260dd2,gestionnaire des modifications et de la configuration des TIC,http://data.europa.eu/esco/skill/dc72ad0a-c5dc-4abd-bc0d-ca43e82162e1,établir des relations d'affaires,1,esco_historique,ict
http://data.europa.eu/esco/occupation/3b1ea27c-781c-41eb-821f-214285260dd2,gestionnaire des modifications et de la configuration des TIC,http://data.europa.eu/esco/skill/9d2e926f-53d9-41f5-98f3-19dfaa687f3f,outils de gestion de configuration logicielle,1,esco_historique,ict
http://data.europa.eu/esco/occupation/3b1ea27c-781c-41eb-821f-214285260dd2,gestionnaire des modifications et de la configuration des TIC,http://data.europa.eu/esco/skill/397da142-ab35-48fe-b154-7c38f447adfb,systèmes numériques,1,esco_historique,ict
http://data.europa.eu/esco/occupation/3b1ea27c-781c-41eb-821f-214285260dd2,gestionnaire des modifications et de la configuration des TIC,http://data.europa.eu/esco/skill/978db6a1-7297-4c89-819a-47605f2c3ba8,gérer des versions d’un logiciel,1,esco_historique,ict
http://data.europa.eu/esco/occupation/3b1ea27c-781c-41eb-821f-214285260dd2,gestionnaire des modifications et de la configuration des TIC,http://data.europa.eu/esco/skill/0b0335f3-0aa1-491e-895e-81fc8774a300,développer des méthodes de migration automatisées,1,esco_historique,ict
http://data.europa.eu/esco/occupation/3b1ea27c-781c-41eb-821f-214285260dd2,gestionnaire des modifications et de la configuration des TIC,http://data.europa.eu/esco/skill/5ef0c719-5bcb-49f8-b8eb-824388225333,utiliser la programmation de scripts,1,esco_historique,ict
http://data.europa.eu/esco/occupation/3b1ea27c-781c-41eb-821f-214285260dd2,gestionnaire des modifications et de la configuration des TIC,http://data.europa.eu/esco/skill/ed8de897-adbe-4f0e-b4d2-534953e64c72,intégrer les composants d’un système,1,esco_historique,ict
http://data.europa.eu/esco/occupation/3b1ea27c-781c-41eb-821f-214285260dd2,gestionnaire des modifications et de la configuration des TIC,http://data.europa.eu/esco/skill/f0de4973-0a70-4644-8fd4-3a97080476f4,DevOps,1,esco_historique,ict
